,Unnamed: 0,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
156,156,R170,250,1,443.78768968899993,29.325411756,11.268001627738268,15.9218968259,740.354830747887,2509.1088656300003,374.73815649799695,294.75964785499997,211.06605588645021
157,157,R170,250,2,444.748858445,29.6184426316,11.261739259293122,16.08907929242,731.8514673134661,2546.00936318,374.5298898963425,294.75964785499997,211.06605588645021
158,158,R170,250,3,443.76865629899993,28.9664843141,11.28234224561111,15.781215081289998,748.1078932128739,2489.47266023,375.2150801693142,294.75964785499997,211.06605588645021
159,159,R170,270,1,395.85141733,54.8565236695,9.030211875927408,27.565060830632003,2050.27868501,2709.56064796,300.3163349605045,294.75964785499997,211.06605588645021
160,160,R170,270,2,393.483110503,52.781042564,9.058038920420358,27.02619976995,2121.5989551689995,2593.81559224,301.24177459910067,294.75964785499997,211.06605588645021
161,161,R170,270,3,394.890961314,52.8934678506,9.09106543518907,27.21013734033,2106.046912731,2610.00924289,302.3401322022372,294.75964785499997,211.06605588645021
165,165,R23,190,1,1465.65449868,5.815057577339999,16.58148147980893,1.2516936979259998,-6444.88847121,1192.007729948,236.83094066628001,288.1324454280527,539.9402818825625
166,166,R23,190,2,1466.55847234,5.72393058843,16.582181068327248,1.2319167655590002,-6483.42392806,1173.129722258,236.84093278954566,288.1324454280527,539.9402818825625
167,167,R23,190,3,1467.16621632,6.08826516325,16.575501007596536,1.30523842808,-6343.58425968,1243.6548538849995,236.74552243260686,288.1324454280527,539.9402818825625
168,168,R23,210,1,1375.53197713,15.2815871677,15.236405360381449,3.45995638511,-5572.67629435,1211.779869584,217.61940983776742,288.1324454280527,539.9402818825625
169,169,R23,210,2,1379.44080007,15.3874953546,15.252234578379284,3.47508053121,-5572.39171403,1218.237006919,217.84549630615712,288.1324454280527,539.9402818825625
170,170,R23,210,3,1375.49920063,15.221370230100002,15.233424088275182,3.44867415941,-5574.42314217,1209.013671821,217.5768287524664,288.1324454280527,539.9402818825625
171,171,R23,230,1,1276.00732993,35.579611259100005,13.589961766586692,8.158185912139999,-4509.302710249999,1264.749641703,194.10349025318783,288.1324454280527,539.9402818825625
172,172,R23,230,2,1273.8220310399995,35.2226525162,13.583917352445493,8.099450393829999,-4517.040105419999,1254.437933264,194.01715874604355,288.1324454280527,539.9402818825625
173,173,R23,230,3,1275.4562889399997,35.5947546858,13.597577674762666,8.14459117314,-4514.5665987600005,1264.142589899,194.21226718602946,288.1324454280527,539.9402818825625
174,174,R23,250,1,1160.01939075,74.69106346720001,11.529611965059972,16.38238006948,-3401.7635623,1253.610540214,164.6758071965603,288.1324454280527,539.9402818825625
175,175,R23,250,2,1156.0325297099998,74.30164663309999,11.527030891826312,16.401910810149996,-3395.47566467,1250.844842057,164.6389420948141,288.1324454280527,539.9402818825625
176,176,R23,250,3,1154.05496017,72.8548625745,11.546518091622756,16.16187444955,-3416.6080143100003,1230.711462235,164.91727499675432,288.1324454280527,539.9402818825625
177,177,R23,270,1,1005.195923086,158.4242771448,8.517089793573634,30.220470245088,-2046.673611822,1210.421778044,121.64838166043413,288.1324454280527,539.9402818825625
178,178,R23,270,2,1000.800238051,155.719037247,8.516962822047448,29.808203266010004,-2024.865893717,1226.282016543,121.64656814419185,288.1324454280527,539.9402818825625
179,179,R23,270,3,993.784839371,147.8301944942,8.667338329165496,29.397718070141,-2117.345470819,1134.490682838,123.7943601160553,288.1324454280527,539.9402818825625
180,180,R32,241,1,1179.79358583,10.329882910160002,17.474853953478235,3.56358462424,-6304.68532482,1482.98874933,335.8998530193418,329.69436787458375,445.7841173832628
181,181,R32,241,2,1182.51098866,10.97673672887,17.45317865104598,3.76500787914,-6153.45428626,1565.30752543,335.4832125758493,329.69436787458375,445.7841173832628
182,182,R32,241,3,1182.13888044,11.15680866516,17.419895606974727,3.79881833434,-6104.00422253,1583.6584034,334.84344931137025,329.69436787458375,445.7841173832628
183,183,R32,261,1,1105.3700876200005,23.5536966154,15.794997457860552,8.06218914316,-5230.28962944,1579.99985269,303.60982350185594,329.69436787458375,445.7841173832628
184,184,R32,261,2,1101.2006924799998,22.9440177066,15.794891490137704,7.86333213641,-5282.57325935,1543.20763572,303.60778660113994,329.69436787458375,445.7841173832628
185,185,R32,261,3,1104.18577011,22.9646225842,15.852324932349392,7.887859896679999,-5308.6379033,1547.7193245499998,304.7117663453289,329.69436787458375,445.7841173832628
186,186,R32,281,1,1012.375607724,45.2475252689,13.78377390863379,14.94762214757,-4256.71142686,1528.35897992,264.9502904166114,329.69436787458375,445.7841173832628
187,187,R32,281,2,1015.640276969,45.843236308,13.825962676481703,15.115753881140002,-4250.54303425,1550.00376881,265.76123859145207,329.69436787458375,445.7841173832628
188,188,R32,281,3,1013.59440734,44.8169799545,13.829968887469196,14.90243523327,-4284.87542429,1519.6075488400002,265.8382455687605,329.69436787458375,445.7841173832628
189,189,R32,301,1,900.033469081,87.67907235669999,11.130961306191402,26.2287722522,-3061.38210456,1470.805162796,213.9581982583308,329.69436787458375,445.7841173832628
190,190,R32,301,2,902.586483182,87.47741734729999,11.182413951448703,26.373219798620003,-3112.80843501,1448.887120764,214.94721573598153,329.69436787458375,445.7841173832628
191,191,R32,301,3,900.52971576,84.9361357749,11.217449869663264,25.82348394182,-3152.61251522,1420.716048076,215.6206725677238,329.69436787458375,445.7841173832628
195,195,R41,210,1,832.4013036690001,10.34560862338,14.032445465549555,4.63369167002,-5277.56179457,1008.419868528,412.31879251166674,283.33137287672236,325.4247536086706
196,196,R41,210,2,832.0176298450001,10.3067590868,14.061205410307227,4.63213966529,-5294.9141663,1007.102617494,413.16385303403246,283.33137287672236,325.4247536086706
197,197,R41,210,3,831.0468327250001,10.35903189097,14.013714681653084,4.650723427050001,-5265.92755345,1009.802174282,411.76842128678294,283.33137287672236,325.4247536086706
198,198,R41,230,1,765.040348765,22.897678683,12.43113729689501,10.28113180175,-4337.491236000001,988.390588306,365.2671611934008,283.33137287672236,325.4247536086706
199,199,R41,230,2,767.000130856,23.7656691788,12.398879893983649,10.542124134780002,-4299.883565450001,1015.711751427,364.3193339988731,283.33137287672236,325.4247536086706
200,200,R41,230,3,767.684079746,23.4731624402,12.428469703644284,10.45468647621,-4322.41218188,1005.80450376,365.1887786455582,283.33137287672236,325.4247536086706
201,201,R41,250,1,690.8217334249999,50.2207864654,10.310194118158885,20.77150213578,-3238.5756723400004,983.882268347,302.94696671345116,283.33137287672236,325.4247536086706
202,202,R41,250,2,688.9306588649999,49.2623963385,10.326893867563053,20.55803626037,-3240.35701026,974.195932763,303.4376595528767,283.33137287672236,325.4247536086706
203,203,R41,250,3,690.714012912,49.6886892622,10.31314945218033,20.68502919307,-3229.03208346,980.199536564,303.03380401905,283.33137287672236,325.4247536086706
